Epoch 102/10000, train MSE = 0.184102, val MSE = 0.180674, val RMSE = 0.425058, val MAE = 0.273746, avg grad norm = 8.945465, clip fraction = 0.9965, epsilon = 41.7539, delta = 1e-05
Epoch 103/10000, train MSE = 0.184110, val MSE = 0.180568, val RMSE = 0.424932, val MAE = 0.273565, avg grad norm = 8.930118, clip fraction = 0.9955, epsilon = 42.0182, delta = 1e-05
Epoch 104/10000, train MSE = 0.184117, val MSE = 0.180516, val RMSE = 0.424871, val MAE = 0.273295, avg grad norm = 8.909746, clip fraction = 0.9953, epsilon = 42.2824, delta = 1e-05
Epoch 105/10000, train MSE = 0.184034, val MSE = 0.180354, val RMSE = 0.424681, val MAE = 0.273194, avg grad norm = 8.874854, clip fraction = 0.9945, epsilon = 42.5467, delta = 1e-05
Epoch 106/10000, train MSE = 0.184004, val MSE = 0.180142, val RMSE = 0.424431, val MAE = 0.273204, avg grad norm = 8.891769, clip fraction = 0.9959, epsilon = 42.8109, delta = 1e-05
Epoch 107/10000, train MSE = 0.184205, val MSE = 0.180264, val RMSE = 0.424576, val MAE = 0.272891, avg grad norm = 8.982359, clip fraction = 0.9969, epsilon = 43.0751, delta = 1e-05
Epoch 108/10000, train MSE = 0.184084, val MSE = 0.180388, val RMSE = 0.424722, val MAE = 0.272810, avg grad norm = 8.982446, clip fraction = 0.9947, epsilon = 43.3394, delta = 1e-05
Epoch 109/10000, train MSE = 0.183878, val MSE = 0.180194, val RMSE = 0.424492, val MAE = 0.273293, avg grad norm = 8.932277, clip fraction = 0.9957, epsilon = 43.6036, delta = 1e-05
Epoch 110/10000, train MSE = 0.183936, val MSE = 0.180169, val RMSE = 0.424463, val MAE = 0.273011, avg grad norm = 8.932651, clip fraction = 0.9961, epsilon = 43.8679, delta = 1e-05
Epoch 111/10000, train MSE = 0.184132, val MSE = 0.180338, val RMSE = 0.424663, val MAE = 0.272802, avg grad norm = 8.948012, clip fraction = 0.9955, epsilon = 44.1321, delta = 1e-05
Epoch 112/10000, train MSE = 0.183887, val MSE = 0.180216, val RMSE = 0.424518, val MAE = 0.273021, avg grad norm = 8.920889, clip fraction = 0.9945, epsilon = 44.3963, delta = 1e-05
